2026-05-19 08:52:17,793 - main - INFO - === Logging system initialized ===
2026-05-19 08:52:17,794 - main - INFO - Log file: logs/app_20260519_085217.log
2026-05-19 08:52:17,794 - main - INFO - Log level: INFO
2026-05-19 08:52:17,794 - main - INFO - Timestamp: 20260519_085217
2026-05-19 08:52:18,726 - main - INFO - Included router: routers.aihub.router
2026-05-19 08:52:18,746 - main - INFO - Included router: routers.auth.router
2026-05-19 08:52:18,748 - main - INFO - Included router: routers.health.router
2026-05-19 08:52:18,800 - main - INFO - Included router: routers.reservations.router
2026-05-19 08:52:18,846 - main - INFO - Included router: routers.salons.router
2026-05-19 08:52:18,867 - main - INFO - Included router: routers.settings.router
2026-05-19 08:52:18,900 - main - INFO - Included router: routers.storage.router
2026-05-19 08:52:18,916 - main - INFO - Included router: routers.user.router
2026-05-19 08:52:20,340 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260519_085220.log')}
2026-05-19 08:52:20,691 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:21,042 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:21,393 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085220.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:21,744 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085220.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:22,095 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:22,446 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:22,798 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:23,149 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:23,500 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:23,850 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:24,201 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:24,552 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:24,903 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:25,254 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:25,605 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085220.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:25,956 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085220.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:26,307 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:26,658 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:27,009 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:27,360 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085220.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:27,711 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:28,062 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085220.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:28,412 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:28,764 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:29,115 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:29,466 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:29,817 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:30,168 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:30,519 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:30,870 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:31,221 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:31,572 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:31,923 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:32,274 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:32,625 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:32,976 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:33,327 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:33,678 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:34,028 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:34,379 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:34,730 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:35,081 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:35,432 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:35,783 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:36,134 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:36,485 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:36,836 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:37,186 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:37,537 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:37,888 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:38,239 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:38,590 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:38,941 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:39,292 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:39,643 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:39,994 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:40,345 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:40,696 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:41,047 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:41,398 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:41,749 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:42,100 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:42,451 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:42,802 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:43,153 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:43,504 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
2026-05-19 08:52:43,854 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_085217.log')}
