2026-05-19 10:35:16,698 - main - INFO - === Logging system initialized ===
2026-05-19 10:35:16,699 - main - INFO - Log file: logs/app_20260519_103516.log
2026-05-19 10:35:16,699 - main - INFO - Log level: INFO
2026-05-19 10:35:16,699 - main - INFO - Timestamp: 20260519_103516
2026-05-19 10:35:17,649 - main - INFO - Included router: routers.aihub.router
2026-05-19 10:35:17,671 - main - INFO - Included router: routers.auth.router
2026-05-19 10:35:17,673 - main - INFO - Included router: routers.health.router
2026-05-19 10:35:17,726 - main - INFO - Included router: routers.printer_settings.router
2026-05-19 10:35:17,779 - main - INFO - Included router: routers.reservations.router
2026-05-19 10:35:17,821 - main - INFO - Included router: routers.salons.router
2026-05-19 10:35:17,847 - main - INFO - Included router: routers.settings.router
2026-05-19 10:35:17,896 - main - INFO - Included router: routers.storage.router
2026-05-19 10:35:17,908 - main - INFO - Included router: routers.user.router
2026-05-19 10:35:19,533 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260519_103519.log')}
2026-05-19 10:35:19,885 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:20,236 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:20,595 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:20,950 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103519.log')}
2026-05-19 10:35:21,301 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103519.log')}
2026-05-19 10:35:21,652 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:22,004 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:22,355 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:22,706 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:23,057 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:23,408 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:23,760 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:24,111 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:24,462 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:24,813 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:25,164 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:25,515 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:25,866 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:26,217 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:26,569 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:26,920 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:27,271 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:27,622 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:27,972 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:28,323 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:28,675 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:29,026 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:29,377 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:29,728 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:30,080 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:30,431 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:30,782 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:31,133 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:31,484 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:31,835 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:32,186 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:32,537 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:32,888 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:33,240 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:33,590 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:33,941 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:34,293 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:34,643 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:34,994 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:35,346 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:35,697 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:36,050 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:36,402 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:36,753 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:37,104 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:37,455 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:37,806 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:38,156 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:38,507 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:38,859 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:39,210 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:39,563 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:39,914 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:40,265 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:40,616 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:40,967 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:41,318 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:41,669 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:42,020 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:42,371 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:42,722 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:43,073 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:43,424 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:43,775 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:44,126 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:44,477 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:44,828 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:45,179 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:45,535 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:45,886 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:46,237 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:46,588 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:46,939 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:47,290 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
2026-05-19 10:35:47,641 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_103516.log')}
