2026-05-24 19:48:49,379 - main - INFO - === Logging system initialized ===
2026-05-24 19:48:49,379 - main - INFO - Log file: logs/app_20260524_194849.log
2026-05-24 19:48:49,379 - main - INFO - Log level: INFO
2026-05-24 19:48:49,379 - main - INFO - Timestamp: 20260524_194849
2026-05-24 19:48:50,301 - main - INFO - Included router: routers.aihub.router
2026-05-24 19:48:50,328 - main - INFO - Included router: routers.auth.router
2026-05-24 19:48:50,369 - main - INFO - Included router: routers.clients.router
2026-05-24 19:48:50,371 - main - INFO - Included router: routers.health.router
2026-05-24 19:48:50,418 - main - INFO - Included router: routers.printer_settings.router
2026-05-24 19:48:50,490 - main - INFO - Included router: routers.reservations.router
2026-05-24 19:48:50,533 - main - INFO - Included router: routers.salons.router
2026-05-24 19:48:50,554 - main - INFO - Included router: routers.settings.router
2026-05-24 19:48:50,607 - main - INFO - Included router: routers.storage.router
2026-05-24 19:48:50,617 - main - INFO - Included router: routers.user.router
2026-05-24 19:48:59,229 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:48:59,580 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:48:59,931 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:00,282 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:00,633 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:00,984 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:01,335 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:01,686 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:02,037 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:02,388 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
2026-05-24 19:49:02,739 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194850.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260524_194849.log')}
