2026-05-23 15:35:55,488 - main - INFO - === Logging system initialized ===
2026-05-23 15:35:55,489 - main - INFO - Log file: logs/app_20260523_153555.log
2026-05-23 15:35:55,489 - main - INFO - Log level: INFO
2026-05-23 15:35:55,489 - main - INFO - Timestamp: 20260523_153555
2026-05-23 15:35:56,365 - main - INFO - Included router: routers.aihub.router
2026-05-23 15:35:56,386 - main - INFO - Included router: routers.auth.router
2026-05-23 15:35:56,388 - main - INFO - Included router: routers.health.router
2026-05-23 15:35:56,437 - main - INFO - Included router: routers.printer_settings.router
2026-05-23 15:35:56,497 - main - INFO - Included router: routers.reservations.router
2026-05-23 15:35:56,537 - main - INFO - Included router: routers.salons.router
2026-05-23 15:35:56,560 - main - INFO - Included router: routers.settings.router
2026-05-23 15:35:56,605 - main - INFO - Included router: routers.storage.router
2026-05-23 15:35:56,614 - main - INFO - Included router: routers.user.router
2026-05-23 15:35:57,979 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260523_153557.log')}
2026-05-23 15:35:58,330 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:35:58,681 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:35:59,032 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:35:59,383 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:35:59,734 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:00,085 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:00,436 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:00,787 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:01,138 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:01,489 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:01,840 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:02,191 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:02,542 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:02,893 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:03,245 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:03,596 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:03,948 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:04,299 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:04,650 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:05,002 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:05,354 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:05,705 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:06,057 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:06,407 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:06,759 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:07,110 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:07,461 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:07,812 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:08,163 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153557.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:08,514 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:08,865 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:09,219 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:09,570 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:09,921 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:10,272 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:10,623 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:10,974 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:11,325 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
2026-05-23 15:36:11,676 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153555.log')}
