2026-05-27 11:11:27,888 - main - INFO - === Logging system initialized ===
2026-05-27 11:11:27,888 - main - INFO - Log file: logs/app_20260527_111127.log
2026-05-27 11:11:27,888 - main - INFO - Log level: INFO
2026-05-27 11:11:27,888 - main - INFO - Timestamp: 20260527_111127
2026-05-27 11:11:36,286 - main - INFO - Included router: routers.aihub.router
2026-05-27 11:11:36,393 - main - INFO - Included router: routers.auth.router
2026-05-27 11:11:36,507 - main - INFO - Included router: routers.clients.router
2026-05-27 11:11:36,591 - main - INFO - Included router: routers.google_calendar.router
2026-05-27 11:11:36,598 - main - INFO - Included router: routers.health.router
2026-05-27 11:11:36,731 - main - INFO - Included router: routers.printer_settings.router
2026-05-27 11:11:36,875 - main - INFO - Included router: routers.reservations.router
2026-05-27 11:11:37,019 - main - INFO - Included router: routers.salons.router
2026-05-27 11:11:37,081 - main - INFO - Included router: routers.settings.router
2026-05-27 11:11:37,201 - main - INFO - Included router: routers.storage.router
2026-05-27 11:11:37,238 - main - INFO - Included router: routers.user.router
2026-05-27 11:11:39,879 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260527_111139.log')}
2026-05-27 11:11:40,230 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:40,581 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:40,932 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111139.log')}
2026-05-27 11:11:41,283 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111139.log')}
2026-05-27 11:11:41,634 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:41,985 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:42,336 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:42,688 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:43,039 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:43,390 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:43,740 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:44,091 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:44,442 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:44,793 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:45,144 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:45,495 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:45,846 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:46,197 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:46,548 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:46,899 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:47,250 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:47,601 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:47,953 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:48,304 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:48,655 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:49,006 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:49,357 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:49,708 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:50,059 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:50,410 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:50,762 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:51,112 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:51,463 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:51,814 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:52,165 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:52,516 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:52,867 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
2026-05-27 11:11:53,218 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260527_111127.log')}
