2026-05-23 15:36:53,257 - main - INFO - === Logging system initialized ===
2026-05-23 15:36:53,257 - main - INFO - Log file: logs/app_20260523_153653.log
2026-05-23 15:36:53,257 - main - INFO - Log level: INFO
2026-05-23 15:36:53,257 - main - INFO - Timestamp: 20260523_153653
2026-05-23 15:36:54,222 - main - INFO - Included router: routers.aihub.router
2026-05-23 15:36:54,240 - main - INFO - Included router: routers.auth.router
2026-05-23 15:36:54,243 - main - INFO - Included router: routers.health.router
2026-05-23 15:36:54,296 - main - INFO - Included router: routers.printer_settings.router
2026-05-23 15:36:54,362 - main - INFO - Included router: routers.reservations.router
2026-05-23 15:36:54,411 - main - INFO - Included router: routers.salons.router
2026-05-23 15:36:54,433 - main - INFO - Included router: routers.settings.router
2026-05-23 15:36:54,482 - main - INFO - Included router: routers.storage.router
2026-05-23 15:36:54,493 - main - INFO - Included router: routers.user.router
2026-05-23 15:36:55,957 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260523_153655.log')}
2026-05-23 15:36:56,308 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:56,659 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:57,010 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153655.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:57,361 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:57,712 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:58,063 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:58,414 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:58,766 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
2026-05-23 15:36:59,116 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_153653.log')}
